ke,len_inLAr
0.0215236,0.527172
0.0218054,0.528012
0.0219369,0.537626
0.0219445,0.539548
0.0219622,0.545881
0.0219755,0.546435
0.0221113,0.553692
0.0225862,0.5609
0.0226296,0.569243
0.0227144,0.57257
0.0229359,0.585205
0.0230403,0.590632
0.0231497,0.595663
0.0232041,0.595746
0.0233188,0.597007
0.0235286,0.608816
0.0235337,0.614644
0.0237346,0.620307
0.023753,0.628835
0.0241462,0.643114
0.024204,0.647156
0.0243943,0.656511
0.024702,0.667594
0.0248319,0.67932
0.0250498,0.680104
0.0250499,0.680796
0.0250992,0.681134
0.0251115,0.682027
0.0251538,0.687288
0.0253165,0.688049
0.0253961,0.701904
0.0254528,0.711044
0.0256343,0.718671
0.0259362,0.724452
0.0259904,0.736245
0.0260833,0.749091
0.0265123,0.75484
0.0267191,0.755021
0.0267196,0.759665
0.026767,0.76383
0.0268118,0.764649
0.0268206,0.776931
0.0271538,0.791051
0.0271909,0.791152
0.0274569,0.808583
0.0276258,0.810557
0.0277762,0.813055
0.0279094,0.816811
0.0279285,0.82281
0.0280438,0.827884
0.0281245,0.830835
0.0282268,0.844979
0.0284464,0.847651
0.0284535,0.855462
0.0285191,0.858968
0.0287963,0.87726
0.0289348,0.889644
0.0292368,0.895129
0.0293167,0.900843
0.0294694,0.92628
0.0297678,0.935827
0.0299302,0.942519
0.0302421,0.961842
0.0302563,0.975254
0.0304251,0.975278
0.0305941,1.00195
0.0313546,1.02838
0.0318677,1.03198
0.0319191,1.04543
0.0319286,1.05202
0.0321039,1.05484
0.0321571,1.07213
0.0322331,1.07231
0.0323224,1.08392
0.0324633,1.08638
0.0325576,1.0953
0.0326487,1.0954
0.0328404,1.09577
0.0329654,1.10153
0.0329982,1.10636
0.0333556,1.12173
0.0334355,1.13621
0.0337058,1.16247
0.0337158,1.17843
0.0342236,1.17853
0.0342241,1.19859
0.0345177,1.20266
0.0346146,1.20916
0.0346241,1.21186
0.0346345,1.2121
0.0346477,1.22692
0.0346981,1.22733
0.0351412,1.24393
0.0353139,1.2662
0.0355469,1.28883
0.0359893,1.29478
0.0360312,1.31312
0.0360498,1.32348
0.0361605,1.32745
0.0362528,1.33488
0.0365308,1.34424
0.0368926,1.377
0.0370286,1.3771
0.0371878,1.39195
0.037301,1.40382
0.0376157,1.41189
0.0376684,1.41234
0.037889,1.43257
0.0380108,1.44961
0.0384955,1.45452
0.0385816,1.496
0.0391695,1.51944
0.0393813,1.52307
0.0393872,1.55226
